srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label,type
3232235964,3236188105,14168,44650,UDP,1554198358000000.0,0.00701238355919509,1.0,349.0,0,normal
3232235964,3236188105,44747,43594,UDP,1554198358000000.0,0.07644548878708046,1.0,1889.0,0,normal
3232235847,3232235855,21268,1900,TCP,1554198358000000.0,0.5484090268441624,3.0,1102.0,0,normal
3232235847,3232235855,50037,57596,TCP,1554198358000000.0,0.17439456076812965,3.0,829.0,0,normal
3232235964,3236188041,14168,57857,ICMP,1554198358000000.0,0.3530987794265372,7.0,683931.0,0,normal
3232235847,3232235855,49646,42158,TCP,1554198358000000.0,0.14260144848514011,3.0,360.0,0,normal
3232235847,3232235855,51403,5355,TCP,1554198358000000.0,0.2517759274045377,7.0,1291.0,0,normal
1061339288,396334165,56216,38793,TCP,1554198358000000.0,34273.336492011076,14494.0,6687355.0,0,normal
3232235964,3236188105,27113,41606,ICMP,1554198358000000.0,0.4612092944382968,4.0,1007085.0,0,normal
3232235964,3504623561,36430,55859,UDP,1554198358000000.0,0.12012339158737828,2.0,13372.0,0,normal
3232235847,3232235855,22753,57596,TCP,1554198358000000.0,1.6757008589912212,9.0,7641.0,0,normal
3232235964,3236188105,44949,48383,UDP,1554198358000000.0,0.002917870551380375,1.0,551.0,0,normal
1135083928,162762772,54956,52916,TCP,1554198358000000.0,62858.049105292004,20061.0,2403608.0,0,normal
3232235847,3232235855,22962,53117,TCP,1554198358000000.0,0.07607622157057993,1.0,300.0,0,normal
3232235847,3232235855,54234,53117,TCP,1554198358000000.0,0.11592426675575672,4.0,1997.0,0,normal
3232235964,3504623561,36430,38245,ICMP,1554198358000000.0,0.08718967238564956,1.0,330.0,0,normal
1062720920,364090453,50670,38793,TCP,1554198358000000.0,13866.129425216679,4160.0,942549.0,0,normal
3232235975,3232235855,49646,0,TCP,1554198358000000.0,0.16308526905022314,6.0,1030.0,0,normal
3232235964,3236188105,14168,57857,UDP,1554198358000000.0,0.013599849998107372,1.0,373.0,0,normal
3265790232,153326101,27113,43960,ICMP,1554198358000000.0,2.518598969579672,6.0,2819.0,0,normal
3232235964,3504623561,27113,38245,ICMP,1554198358000000.0,0.9351516841666412,3.0,38452.0,0,normal
1002996120,496473173,36706,35553,TCP,1554198358000000.0,667.395277857979,1243.0,1388592.0,0,normal
1118306584,153326165,27113,43960,ICMP,1554198358000000.0,1835.6963586114155,175.0,163279.0,0,normal
3265790360,220435063,16997,35553,TCP,1554198358000000.0,8.155202132945226,10.0,5297.0,0,normal
3265790232,153326197,58190,54790,TCP,1554198358000000.0,1.5128468895947966,4.0,15301.0,0,normal
3232235847,3232235855,22962,5355,TCP,1554198358000000.0,3.8001361184843887,12.0,21382.0,0,normal
3232235847,3232235855,49646,8001,TCP,1554198358000000.0,0.2904243529124182,6.0,31327.0,0,normal
3232235847,3232235855,45131,42158,TCP,1554198358000000.0,1.303655979641407,25.0,18777.0,0,normal
3232235964,3236188105,36430,55859,UDP,1554198358000000.0,0.02009440524762129,1.0,7270.0,0,normal
3232235847,3232235855,49646,0,TCP,1554198358000000.0,0.31619120815403945,5.0,19268.0,0,normal
3265790360,220435037,55483,52954,TCP,1554198358000000.0,61.963828216941394,5.0,24321.0,0,normal
3232235971,3299344719,36074,1880,TCP,1554198358000000.0,3.705295285674477,17.0,1808.0,0,normal
3232235847,3232235855,22753,0,TCP,1554198358000000.0,0.10177134798825427,2.0,250.0,0,normal
3232235847,3232235855,45131,57596,TCP,1554198358000000.0,0.1446244666871339,3.0,228.0,0,normal
3232235964,3236188105,36430,38245,UDP,1554198358000000.0,0.09314809290684377,2.0,481401.0,0,normal
3232235975,3232235855,50037,52976,TCP,1554198358000000.0,1.954831367489952,17.0,8182.0,0,normal
1118306712,220434997,16997,35553,TCP,1554198358000000.0,516.3676649586821,209.0,420834.0,0,normal
3232235964,3236188105,15547,44650,UDP,1554198358000000.0,0.0010559170940624973,1.0,133.0,0,normal
3265790232,220434997,44384,52916,TCP,1554198358000000.0,1.640472652306892,4.0,2462.0,0,normal
3232235847,3232235855,22962,8001,TCP,1554198358000000.0,0.1759186828935868,4.0,121824.0,0,normal
3232235964,3236188105,36430,38245,ICMP,1554198358000000.0,0.5188914522086385,2.0,97245.0,0,normal
3232235847,3232235855,49646,57596,TCP,1554198358000000.0,0.035515417069764244,2.0,322.0,0,normal
3265790360,220435029,55483,52079,TCP,1554198358000000.0,88.83051419101149,16.0,139801.0,0,normal
